id;vmax;vmin;pcv0;pcv1;pcv2;pcv3;pcv4;prodesp;teif;iph;pinst;cfuga;cphid
1;792.0;120.0;893.0;0.1;0.0;0.0;0.0;0.0;0.4;2.0;46.0;885.7;0.1
2;11.0;11.0;885.7;0.0;0.0;0.0;0.0;0.0;1.1;5.6;25.0;856.9;0.6
4;304.0;304.0;807.9;0.0;0.0;0.0;0.0;0.0;2.0;2.3;180.0;768.1;0.4
6;22950.0;5733.0;735.2;0.0;0.0;0.0;0.0;0.0;1.3;1.9;912.0;672.2;0.8
7;4040.0;1540.0;641.8;0.0;0.0;0.0;0.0;0.0;3.1;2.8;80.0;621.1;1.1
8;1423.0;1423.0;620.5;0.0;0.0;0.0;0.0;0.0;1.0;2.8;1050.0;558.4;0.9
9;450.0;450.0;557.4;0.0;0.0;0.0;0.0;0.0;4.5;15.1;424.0;512.8;0.5
10;480.0;480.0;512.0;0.0;0.0;0.0;0.0;0.0;0.5;2.1;210.0;494.9;0.2
11;2244.0;2244.0;494.4;0.0;0.0;0.0;0.0;0.0;3.4;3.5;380.0;466.6;0.2
12;1524.0;1524.0;466.5;0.0;0.0;0.0;0.0;0.0;7.8;1.4;320.0;444.1;0.2
14;555.0;51.0;816.3;0.2;0.0;0.0;0.0;0.0;0.1;5.0;41.2;751.2;0.9
15;14.0;14.0;664.5;0.0;0.0;0.0;0.0;0.0;0.1;3.0;108.8;576.6;0.7
16;25.0;25.0;572.5;0.0;0.0;0.0;0.0;0.0;0.3;2.6;32.0;546.6;0.2
17;6150.0;890.0;417.9;0.0;0.0;0.0;0.0;0.0;1.1;2.1;1440.0;383.7;0.8
18;11025.0;5856.0;352.0;0.0;0.0;0.0;0.0;0.0;0.1;2.7;1396.2;327.2;0.8
20;1781.6;430.1;775.0;0.0;0.0;0.0;0.0;0.0;5.3;5.9;52.6;755.3;1.2
21;5199.0;1752.0;682.6;0.0;0.0;0.0;0.0;0.0;0.2;1.1;212.6;674.9;0.7
22;9010.0;2186.0;704.9;0.0;0.0;0.0;0.0;0.0;2.5;8.1;150.0;675.6;2.2
24;17725.0;4669.0;568.1;0.0;0.0;0.0;0.0;0.0;0.7;1.6;1192.0;520.7;1.0
25;12792.0;2412.0;752.1;0.0;0.0;0.0;0.0;0.0;0.8;3.0;510.0;696.3;1.7
26;1120.0;974.0;684.7;0.0;0.0;0.0;0.0;0.0;0.2;3.0;408.0;624.1;0.7
27;241.1;228.3;594.0;0.4;0.0;0.0;0.0;0.0;0.6;2.0;240.0;565.1;1.8
28;879.0;878.0;527.4;0.1;0.0;0.0;0.0;0.0;2.4;2.2;210.0;518.3;0.5
29;3708.0;2936.6;789.3;0.0;0.0;0.0;0.0;0.0;1.1;2.4;129.2;772.3;1.6
30;1500.0;470.0;545.9;0.1;0.0;0.0;0.0;0.0;4.3;2.3;375.0;516.7;0.7
31;17027.0;4573.0;471.2;0.0;0.0;0.0;0.0;0.0;4.6;3.6;2082.0;434.5;0.8
32;460.0;460.0;433.4;0.0;0.0;0.0;0.0;0.0;1.5;4.2;34.0;401.2;0.6
33;12540.0;7000.0;358.3;0.0;0.0;0.0;0.0;0.0;1.1;5.6;1710.0;327.1;0.8
34;21060.0;8232.0;293.9;0.0;0.0;0.0;0.0;0.0;0.9;3.7;704.0;281.1;0.5
37;3135.0;569.0;432.8;0.0;0.0;0.0;0.0;0.0;0.1;7.8;140.8;427.7;0.4
38;544.0;544.0;427.2;0.0;0.0;0.0;0.0;0.0;0.4;6.9;143.1;404.6;0.4
39;985.0;985.0;403.8;0.0;0.0;0.0;0.0;0.0;0.2;8.0;131.4;382.8;0.4
40;7408.0;5280.0;369.7;0.0;0.0;0.0;0.0;0.0;0.2;4.2;264.0;358.0;0.4
42;2720.0;2720.0;357.7;0.0;0.0;0.0;0.0;0.0;0.1;2.9;347.4;326.7;0.4
43;13372.0;9923.0;293.2;0.0;0.0;0.0;0.0;0.0;0.9;3.8;807.5;280.0;0.8
44;34432.0;25467.0;294.2;0.0;0.0;0.0;0.0;0.0;0.9;3.7;704.0;281.1;2.4
45;3354.0;3354.0;279.7;0.0;0.0;0.0;0.0;0.0;2.2;4.5;1551.2;258.5;0.6
46;14400.0;14400.0;239.2;0.0;0.0;0.0;0.0;0.0;0.2;3.6;1540.0;237.7;0.4
47;7008.0;3843.0;542.6;0.0;0.0;0.0;0.0;0.0;0.2;1.2;101.0;532.2;0.4
48;84.0;84.0;531.5;0.0;0.0;0.0;0.0;0.0;0.4;4.4;80.0;505.6;0.3
49;8795.0;5754.0;437.5;0.0;0.0;0.0;0.0;0.0;0.0;1.3;103.5;398.8;2.2
50;45.0;45.0;384.2;0.0;0.0;0.0;0.0;0.0;0.1;2.7;74.0;366.7;0.2
51;151.0;151.0;365.9;0.0;0.0;0.0;0.0;0.0;0.2;2.7;72.0;351.6;0.2
52;212.0;212.0;350.9;0.0;0.0;0.0;0.0;0.0;0.3;2.2;82.5;334.4;0.2
